fraud_label,transaction_count,account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,avg_value_sent,avg_value_received,total_ether_sent,total_ether_received,contract_creation,is_high_balance,high_txn_freq_flag,net_flow,contract_activity_flag,log_balance,log_txn_count
0,810.0,-7.434723237039977,844.26,1093.71,46,38,1.200681,6.589513,277.49583999456047,320.79086236720264,0,0,0,43.295022372642165,0,0.0,7.569912183230232
0,102.0,-0.001818811,12709.07,2958.44,14,5,0.032844,0.385685,3.08729702,3.085478209,0,0,0,-0.0018188109999996982,0,0.0,9.65940824467721
0,12.0,0.000441,246194.54,2434.02,2,10,1.7943080000000002,0.358906,3.58861565,3.58905665,0,0,0,0.0004409999999999137,0,0.0004409027880792546,12.423719356862893
0,34.0,-7.434723237039977,10219.6,15785.09,13,7,33.666149,50.5,277.49583999456047,320.79086236720264,0,0,0,43.295022372642165,0,0.0,10.166070639214139
0,1235.2000000000044,-7.434723237039977,36.61,10707.77,19,7,0.022688,2.671095,104.3188828,53.4218965,1,0,0,-50.896986299999995,1,0.0,9.282231173737454
0,5.0,0.001008,9900.12,375.48,1,2,4.851858,3.2349080000000003,9.70371586,9.70472386,0,0,0,0.0010079999999987876,0,0.0010074923091396154,9.23762474500324
0,36.0,0.016871896,69.46,629.44,20,9,0.482496,1.098115,12.0623941,12.079266,0,0,0,0.01687189999999994,0,0.016731146497262334,6.550937467695494
0,218.0,-4.2479024160000005,1497.39,176.84,3,3,0.040861,0.891098,8.703392156,4.45548974,0,0,0,-4.247902416,0,0.0,7.423705748265376
0,2.0,0.00062,0.0,0.0,1,1,1.99938,2.0,1.99938,2.0,0,0,1,0.0006200000000000649,0,0.0006198078794057442,0.0
0,11.0,-7.434723237039977,2570.59,3336.01,4,2,18.634625,16.7,149.077,50.1,0,0,0,-98.977,0,0.0,8.683994936552155
0,20.0,0.007636018,32.45,12921.57,1,2,1.004055,1.004819,10.04055439,10.04819041,0,0,0,0.0076360199999996325,0,0.007607011185341221,9.4692386368005
0,254.0,0.004047714,3716.41,1448.09,3,4,33.666149,3.381313,277.49583999456047,320.79086236720264,0,0,0,43.295022372642165,0,0.004039544044694956,8.5497571822895
0,17.0,11.245396467673102,0.0,12431.27,0,4,0.0,0.769166,0.0,12.30665958,1,1,1,12.30665958,1,2.5051500678034646,9.428050790518311
0,9.0,0.097217423,9520.7,5776.32,4,2,0.037563,0.180079,0.262941117,0.36015854,0,0,0,0.09721742300000003,0,0.09277735946671678,9.635478687241395
0,56.0,-7.434723237039977,14106.66,3742.82,21,11,33.666149,50.5,277.49583999456047,320.79086236720264,0,0,0,43.295022372642165,0,0.0,9.789785677602538
0,38.0,0.086741405,757.91,11.08,13,3,0.044268,0.530615,1.5051029580000002,1.591844363,1,0,0,0.08674140499999994,1,0.08318368195279735,6.646377527750411
0,114.0,0.023940002,3.13,4923.24,2,2,0.203593,0.204013,11.6048114,11.6287514,0,0,0,0.023939999999999628,0,0.023657933103874658,8.50256065613192
0,37.0,-7.434723237039977,27681.45,11171.03,15,6,9.896423,16.564688,257.307,182.2115661,0,0,0,-75.09543390000002,0,0.0,10.567552927073741
0,5.0,0.001323,770.29,3.82,3,1,9.255226,13.8835,27.765677,27.767,0,0,0,0.001322999999999297,0,0.0013221256066299858,6.65300495476533
0,4.0,0.001026218,163.78,1.11,2,2,33.666149,50.5,100.9989738,101.0,0,0,1,0.0010261999999983118,0,0.0010256917982759224,5.1113249181041835
0,19.0,11.245396467673102,0.0,6324.45,0,5,0.0,5.662421,0.0,101.9235724,1,1,1,101.9235724,1,2.5051500678034646,8.752336457310006
0,14.0,-7.434723237039977,725.77,41108.66,3,4,22.441764000000006,8.407243,157.09235049999995,58.85070376,0,0,0,-98.24164673999995,0,0.0,10.641498867151837
0,9.0,0.002245057,91.14,64.3,5,4,1.749551,2.1875,8.747754943,8.75,0,0,0,0.0022450569999996617,0,0.0022425406250996503,5.052672549887314
0,134.0,11.245396467673102,2477.34,6928.28,2,1,1.2625,0.342666,10.1,43.17587621,0,1,0,33.07587621,0,2.5051500678034646,9.149168975705836
0,18.0,11.245396467673102,0.0,13339.9,0,6,0.0,4.860215,0.0,82.62366163,1,1,1,82.62366163,1,2.5051500678034646,9.498589783460735
0,2.0,0.00126,0.0,0.0,1,1,4.99774,4.999,4.99774,4.999,0,0,1,0.0012599999999993727,0,0.0012592068661625162,0.0
0,85.0,-7.434723237039977,1797.42,60933.08,7,3,0.760256,11.666667,62.341,35.0,0,0,0,-27.341,0,0.0,11.046618992808728
0,2.0,0.00126,0.0,0.0,1,1,0.546389,0.5476489999999999,0.54638892,0.54764892,0,0,1,0.0012600000000000389,0,0.0012592068661625162,0.0
0,7.0,-3.882478376,155.22,112602.93,3,3,2.104909,1.512385,8.419634776,4.5371564000000015,0,0,0,-3.882478375999999,0,0.0,11.633009407065547
0,73.0,-7.434723237039977,14626.26,6594.93,34,7,33.666149,50.5,277.49583999456047,320.79086236720264,0,0,0,43.295022372642165,0,0.0,9.962802611366788
0,54.0,11.245396467673102,0.0,5498.63,0,4,0.0,0.504895,0.0,26.75944516,1,1,1,26.75944516,1,2.5051500678034646,8.612436096230379
